#Uploaded_variation	Location	Allele	Consequence	IMPACT	SYMBOL	Gene	Feature_type	Feature	BIOTYPE	EXON	INTRON	HGVSc	HGVSp	cDNA_position	CDS_position	Protein_position	Amino_acids	Codons	Existing_variation	DISTANCE	STRAND	SYMBOL_SOURCE	HGNC_ID	REFSEQ_MATCH	GMAF	AFR_MAF	AMR_MAF	ASN_MAF	EAS_MAF	EUR_MAF	SAS_MAF	AA_MAF	EA_MAF	CLIN_SIG	SOMATIC	PHENO	PUBMED	MOTIF_NAME	MOTIF_POS	HIGH_INF_POS	MOTIF_SCORE_CHANGE
esv3638608	16:50688165-50688165	CN2	non_coding_transcript_exon_variant,intron_variant,non_coding_transcript_variant	MODIFIER	-	101927272	Transcript	XR_243445.1	misc_RNA	01/02/02	01/01/15	-	-	-	-	-	-	-	-	-	1	-	-	rseq_mrna_match,rseq_ens_no_match	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
rs5743265	16:50731058-50731059	-	5_prime_UTR_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs5743265	-	-	-	-	-	-:0.0082	-:0.0303	-:0.0014	-	-:0	-:0	-:0	-	-	-	-	-	-	-	-	-	-
rs544996914	16:50731072-50731072	-	5_prime_UTR_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs544996914	-	-	-	-	-	A:0.0002	A:0	A:0	-	A:0	A:0	A:0.001	-	-	-	-	-	-	-	-	-	-
rs565604357	16:50731095-50731095	-	5_prime_UTR_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs565604357	-	-	-	-	-	T:0.0002	T:0	T:0	-	T:0	T:0	T:0.001	-	-	-	-	-	-	-	-	-	-
rs2076752	16:50731096-50731096	-	5_prime_UTR_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs2076752	-	-	-	-	-	A:0.1410	A:0.1248	A:0.1758	-	A:0.0089	A:0.2813	A:0.1299	A:0.1452	A:0.2898	-	-	-	19843337,12577202,15145460,23850724	-	-	-	-
rs139485985	16:50731097-50731097	-	5_prime_UTR_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs139485985	-	-	-	-	-	C:0.0026	C:0.0098	C:0	-	C:0	C:0	C:0	C:0.0058	C:0	-	-	-	-	-	-	-	-
rs188341692	16:50731102-50731102	-	5_prime_UTR_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs188341692	-	-	-	-	-	T:0.0002	T:0	T:0	-	T:0	T:0.001	T:0	T:0	T:0.0006	-	-	-	-	-	-	-	-
rs530145719	16:50731115-50731115	-	5_prime_UTR_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs530145719	-	-	-	-	-	T:0.0002	T:0.0008	T:0	-	T:0	T:0	T:0	-	-	-	-	-	-	-	-	-	-
rs117611225	16:50731141-50731141	-	5_prime_UTR_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs117611225	-	-	-	-	-	T:0.0006	T:0	T:0	-	T:0.003	T:0	T:0	-	-	-	-	-	-	-	-	-	-
rs566551188	16:50731147-50731147	-	5_prime_UTR_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs566551188	-	-	-	-	-	A:0.0002	A:0	A:0	-	A:0	A:0	A:0.001	-	-	-	-	-	-	-	-	-	-
rs144993105	16:50731214-50731214	-	synonymous_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs144993105	-	-	-	-	-	T:0.0004	T:0.0008	T:0.0014	-	T:0	T:0	T:0	T:0.0005	T:0.0001	-	-	-	-	-	-	-	-
rs149122717	16:50731225-50731225	-	missense_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs149122717	-	-	-	-	-	T:0.0010	T:0.003	T:0	-	T:0.001	T:0	T:0	T:0.0007	T:0	-	-	-	-	-	-	-	-
rs571559366	16:50731228-50731228	-	splice_donor_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs571559366	-	-	-	-	-	A:0.0002	A:0	A:0	-	A:0	A:0	A:0.001	-	-	-	-	-	-	-	-	-	-
rs201615690	16:50731251-50731251	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs201615690	-	-	-	-	-	A:0.0002	A:0	A:0	-	A:0.001	A:0	A:0	-	-	-	-	-	-	-	-	-	-
rs200434929	16:50731274-50731274	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs200434929	-	-	-	-	-	G:0.0004	G:0.0015	G:0	-	G:0	G:0	G:0	G:0.0005	G:0	-	-	-	-	-	-	-	-
rs573845398	16:50731288-50731288	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs573845398	-	-	-	-	-	T:0.0002	T:0	T:0	-	T:0.001	T:0	T:0	-	-	-	-	-	-	-	-	-	-
rs542765581	16:50731368-50731368	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs542765581	-	-	-	-	-	T:0.0004	T:0.0015	T:0	-	T:0	T:0	T:0	-	-	-	-	-	-	-	-	-	-
rs534192645	16:50731412-50731412	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs534192645	-	-	-	-	-	T:0.0004	T:0.0015	T:0	-	T:0	T:0	T:0	-	-	-	-	-	-	-	-	-	-
rs572958050	16:50731426-50731426	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs572958050	-	-	-	-	-	C:0.0002	C:0.0008	C:0	-	C:0	C:0	C:0	-	-	-	-	-	-	-	-	-	-
rs185988710	16:50731512-50731512	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs185988710	-	-	-	-	-	T:0.0002	T:0.0008	T:0	-	T:0	T:0	T:0	-	-	-	-	-	-	-	-	-	-
rs190512896	16:50731546-50731546	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs190512896	-	-	-	-	-	G:0.0002	G:0	G:0	-	G:0.001	G:0	G:0	-	-	-	-	-	-	-	-	-	-
rs575894427	16:50731609-50731609	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs575894427	-	-	-	-	-	A:0.0002	A:0.0008	A:0	-	A:0	A:0	A:0	-	-	-	-	-	-	-	-	-	-
rs544541376	16:50731642-50731642	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs544541376	-	-	-	-	-	A:0.0002	A:0	A:0	-	A:0	A:0	A:0.001	-	-	-	-	-	-	-	-	-	-
rs371916256	16:50731645-50731645	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs371916256	-	-	-	-	-	G:0.0012	G:0	G:0	-	G:0.005	G:0	G:0.001	-	-	-	-	-	-	-	-	-	-
rs182345605	16:50731652-50731652	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs182345605	-	-	-	-	-	G:0.0002	G:0	G:0	-	G:0	G:0.001	G:0	-	-	-	-	-	-	-	-	-	-
rs546770098	16:50731702-50731702	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs546770098	-	-	-	-	-	T:0.0002	T:0.0008	T:0	-	T:0	T:0	T:0	-	-	-	-	-	-	-	-	-	-
rs8061316	16:50731718-50731718	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs8061316	-	-	-	-	-	A:0.0132	A:0.0469	A:0.0058	-	A:0	A:0	A:0	-	-	-	-	-	-	-	-	-	-
rs147177623	16:50731732-50731732	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs147177623	-	-	-	-	-	C:0.0002	C:0.0008	C:0	-	C:0	C:0	C:0	-	-	-	-	-	-	-	-	-	-
rs186780800	16:50731785-50731785	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs186780800	-	-	-	-	-	A:0.0004	A:0.0015	A:0	-	A:0	A:0	A:0	-	-	-	-	-	-	-	-	-	-
rs569116160	16:50731828-50731828	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs569116160	-	-	-	-	-	A:0.0016	A:0.0061	A:0	-	A:0	A:0	A:0	-	-	-	-	-	-	-	-	-	-
rs8061636	16:50731895-50731895	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs8061636	-	-	-	-	-	C:0.0132	C:0.0469	C:0.0058	-	C:0	C:0	C:0	-	-	-	-	-	-	-	-	-	-
rs140505719	16:50731903-50731903	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs140505719	-	-	-	-	-	T:0.0026	T:0	T:0	-	T:0.0129	T:0	T:0	-	-	-	-	-	-	-	-	-	-
rs567543728	16:50731949-50731949	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs567543728	-	-	-	-	-	G:0.0002	G:0.0008	G:0	-	G:0	G:0	G:0	-	-	-	-	-	-	-	-	-	-
rs536482745	16:50731950-50731950	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs536482745	-	-	-	-	-	C:0.0004	C:0	C:0	-	C:0	C:0.002	C:0	-	-	-	-	-	-	-	-	-	-
rs115081170	16:50732026-50732026	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs115081170	-	-	-	-	-	T:0.0098	T:0.034	T:0.0043	-	T:0	T:0.001	T:0	-	-	-	-	-	-	-	-	-	-
rs573019098	16:50732092-50732092	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs573019098	-	-	-	-	-	G:0.0008	G:0.003	G:0	-	G:0	G:0	G:0	-	-	-	-	-	-	-	-	-	-
rs144417308	16:50732108-50732108	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs144417308	-	-	-	-	-	C:0.0018	C:0	C:0	-	C:0.0079	C:0	C:0.001	-	-	-	-	-	-	-	-	-	-
rs558536552	16:50732115-50732115	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs558536552	-	-	-	-	-	T:0.0002	T:0	T:0.0014	-	T:0	T:0	T:0	-	-	-	-	-	-	-	-	-	-
rs16948754	16:50732116-50732116	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs16948754	-	-	-	-	-	A:0.0086	A:0.0318	A:0.0014	-	A:0	A:0	A:0	-	-	-	-	-	-	-	-	-	-
rs79877183	16:50732133-50732133	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs79877183	-	-	-	-	-	A:0.0493	A:0.0976	A:0.0331	-	A:0.0913	A:0.001	A:0.002	-	-	-	-	-	-	-	-	-	-
rs561276676	16:50732184-50732184	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs561276676	-	-	-	-	-	G:0.0002	G:0.0008	G:0	-	G:0	G:0	G:0	-	-	-	-	-	-	-	-	-	-
rs190350266	16:50732222-50732222	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs190350266	-	-	-	-	-	A:0.0024	A:0.0091	A:0	-	A:0	A:0	A:0	-	-	-	-	-	-	-	-	-	-
rs181255947	16:50732244-50732244	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs181255947	-	-	-	-	-	A:0.0008	A:0.003	A:0	-	A:0	A:0	A:0	-	-	-	-	-	-	-	-	-	-
rs560311749	16:50732257-50732257	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs560311749	-	-	-	-	-	A:0.0002	A:0	A:0	-	A:0.001	A:0	A:0	-	-	-	-	-	-	-	-	-	-
rs532473641	16:50732303-50732303	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs532473641	-	-	-	-	-	T:0.0002	T:0.0008	T:0	-	T:0	T:0	T:0	-	-	-	-	-	-	-	-	-	-
rs116382327	16:50732306-50732306	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs116382327	-	-	-	-	-	C:0.0084	C:0.031	C:0.0014	-	C:0	C:0	C:0	-	-	-	-	-	-	-	-	-	-
rs562922214	16:50732340-50732340	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs562922214	-	-	-	-	-	G:0.0004	G:0.0008	G:0.0014	-	G:0	G:0	G:0	-	-	-	-	-	-	-	-	-	-
rs148906342	16:50732345-50732345	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs148906342	-	-	-	-	-	T:0.0028	T:0	T:0	-	T:0.0089	T:0.005	T:0	-	-	-	-	-	-	-	-	-	-
rs548546997	16:50732364-50732364	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs548546997	-	-	-	-	-	G:0.0002	G:0.0008	G:0	-	G:0	G:0	G:0	-	-	-	-	-	-	-	-	-	-
rs567605814	16:50732381-50732381	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs567605814	-	-	-	-	-	A:0.0006	A:0	A:0	-	A:0	A:0	A:0.0031	-	-	-	-	-	-	-	-	-	-
rs536545410	16:50732384-50732384	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs536545410	-	-	-	-	-	G:0.0002	G:0	G:0	-	G:0.001	G:0	G:0	-	-	-	-	-	-	-	-	-	-
rs142257193	16:50732389-50732389	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs142257193	-	-	-	-	-	G:0.0008	G:0	G:0	-	G:0.004	G:0	G:0	-	-	-	-	-	-	-	-	-	-
rs7206340	16:50732422-50732422	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs7206340	-	-	-	-	-	T:0.0132	T:0.0469	T:0.0058	-	T:0	T:0	T:0	-	-	-	-	-	-	-	-	-	-
rs151241829	16:50732448-50732448	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs151241829	-	-	-	-	-	G:0.0002	G:0	G:0	-	G:0	G:0.001	G:0	-	-	-	-	-	-	-	-	-	-
rs369059091	16:50732449-50732449	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs369059091	-	-	-	-	-	T:0.0034	T:0	T:0	-	T:0	T:0	T:0.0174	-	-	-	-	-	-	-	-	-	-
rs575278721	16:50732462-50732462	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs575278721	-	-	-	-	-	C:0.0002	C:0.0008	C:0	-	C:0	C:0	C:0	-	-	-	-	-	-	-	-	-	-
rs537479574	16:50732469-50732469	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs537479574	-	-	-	-	-	T:0.0014	T:0.0045	T:0	-	T:0.001	T:0	T:0	-	-	-	-	-	-	-	-	-	-
rs569826387	16:50732470-50732470	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs569826387	-	-	-	-	-	A:0.0004	A:0.0015	A:0	-	A:0	A:0	A:0	-	-	-	-	-	-	-	-	-	-
rs113924970	16:50732507-50732507	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs113924970	-	-	-	-	-	T:0.0473	T:0.0416	T:0.013	-	T:0.0625	T:0.005	T:0.1074	-	-	-	-	-	-	-	-	-	-
rs145685412	16:50732508-50732508	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs145685412	-	-	-	-	-	T:0.0002	T:0	T:0	-	T:0	T:0.001	T:0	-	-	-	-	-	-	-	-	-	-
rs111816216	16:50732526-50732526	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs111816216	-	-	-	-	-	A:0.0178	A:0.0651	A:0.0043	-	A:0	A:0	A:0	-	-	-	-	-	-	-	-	-	-
rs113315711	16:50732535-50732535	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs113315711	-	-	-	-	-	C:0.0002	C:0.0008	C:0	-	C:0	C:0	C:0	-	-	-	-	-	-	-	-	-	-
rs546355130	16:50732552-50732552	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs546355130	-	-	-	-	-	A:0.0002	A:0.0008	A:0	-	A:0	A:0	A:0	-	-	-	-	-	-	-	-	-	-
rs185362389	16:50732565-50732565	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs185362389	-	-	-	-	-	C:0.0002	C:0.0008	C:0	-	C:0	C:0	C:0	-	-	-	-	-	-	-	-	-	-
rs141325216	16:50732671-50732671	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs141325216	-	-	-	-	-	G:0.0008	G:0.003	G:0	-	G:0	G:0	G:0	-	-	-	-	-	-	-	-	-	-
rs190026427	16:50732703-50732703	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs190026427	-	-	-	-	-	C:0.0034	C:0.0113	C:0.0029	-	C:0	C:0	C:0	-	-	-	-	-	-	-	-	-	-
rs562013133	16:50732710-50732710	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs562013133	-	-	-	-	-	A:0.0002	A:0	A:0	-	A:0	A:0.001	A:0	-	-	-	-	-	-	-	-	-	-
rs530022906	16:50732726-50732726	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs530022906	-	-	-	-	-	T:0.0002	T:0.0008	T:0	-	T:0	T:0	T:0	-	-	-	-	-	-	-	-	-	-
rs59712090	16:50732789-50732789	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs59712090	-	-	-	-	-	A:0.0164	A:0.062	A:0	-	A:0	A:0	A:0	-	-	-	-	-	-	-	-	-	-
rs566696957	16:50732836-50732836	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs566696957	-	-	-	-	-	G:0.0102	G:0.0348	G:0.0043	-	G:0.001	G:0.001	G:0	-	-	-	-	-	-	-	-	-	-
rs532236693	16:50732863-50732863	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs532236693	-	-	-	-	-	T:0.0006	T:0.0015	T:0	-	T:0	T:0	T:0.001	-	-	-	-	-	-	-	-	-	-
rs552334439	16:50732914-50732914	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs552334439	-	-	-	-	-	A:0.0004	A:0.0015	A:0	-	A:0	A:0	A:0	-	-	-	-	-	-	-	-	-	-
rs568902149	16:50732918-50732918	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs568902149	-	-	-	-	-	G:0.0002	G:0	G:0.0014	-	G:0	G:0	G:0	-	-	-	-	-	-	-	-	-	-
rs150247629	16:50732984-50732984	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs150247629	-	-	-	-	-	A:0.0028	A:0.0098	A:0	-	A:0	A:0	A:0.001	-	-	-	-	-	-	-	-	-	-
rs187831680	16:50732989-50732989	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs187831680	-	-	-	-	-	A:0.0004	A:0.0015	A:0	-	A:0	A:0	A:0	-	-	-	-	-	-	-	-	-	-
rs192123676	16:50733030-50733030	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs192123676	-	-	-	-	-	T:0.0002	T:0	T:0	-	T:0.001	T:0	T:0	-	-	-	-	-	-	-	-	-	-
rs534243409	16:50733039-50733039	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs534243409	-	-	-	-	-	C:0.0002	C:0	C:0	-	C:0	C:0	C:0.001	-	-	-	-	-	-	-	-	-	-
rs183866622	16:50733040-50733040	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs183866622	-	-	-	-	-	C:0.0112	C:0.0265	C:0.0043	-	C:0	C:0.002	C:0.0164	-	-	-	-	-	-	-	-	-	-
rs577449843	16:50733060-50733060	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs577449843	-	-	-	-	-	T:0.0002	T:0	T:0	-	T:0	T:0	T:0.001	-	-	-	-	-	-	-	-	-	-
rs187540953	16:50733061-50733061	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs187540953	-	-	-	-	-	A:0.0006	A:0	A:0	-	A:0.003	A:0	A:0	-	-	-	-	-	-	-	-	-	-
rs138929689	16:50733074-50733074	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs138929689	-	-	-	-	-	G:0.0004	G:0.0015	G:0	-	G:0	G:0	G:0	-	-	-	-	-	-	-	-	-	-
rs576460262	16:50733081-50733081	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs576460262	-	-	-	-	-	C:0.0002	C:0.0008	C:0	-	C:0	C:0	C:0	-	-	-	-	-	-	-	-	-	-
rs542301045	16:50733113-50733113	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs542301045	-	-	-	-	-	C:0.0006	C:0.0023	C:0	-	C:0	C:0	C:0	-	-	-	-	-	-	-	-	-	-
rs149425221	16:50733115-50733115	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs149425221	-	-	-	-	-	T:0.0040	T:0	T:0.0086	-	T:0	T:0.0109	T:0.0031	-	-	-	-	-	-	-	-	-	-
rs76078984	16:50733153-50733153	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs76078984	-	-	-	-	-	G:0.0355	G:0	G:0.0014	-	G:0.0714	G:0	G:0.1074	-	-	-	-	-	-	-	-	-	-
rs200761103	16:50733212-50733212	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs200761103	-	-	-	-	-	TGTTTCT:0.0156	TGTTTCT:0.0431	TGTTTCT:0.0043	-	TGTTTCT:0	TGTTTCT:0.002	TGTTTCT:0.0164	-	-	-	-	-	-	-	-	-	-
rs192014376	16:50733248-50733248	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs192014376	-	-	-	-	-	G:0.0002	G:0.0008	G:0	-	G:0	G:0	G:0	-	-	-	-	-	-	-	-	-	-
rs575049478	16:50733269-50733269	-	intron_variant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rs575049478	-	-	-	-	-	C:0.0002	C:0	C:0	-	C:0	C:0	C:0.001	-	-	-	-	-	-	-	-	-	-
